name	x	y	z
FP1	80.79573128	26.09631015	-4.00404831
FP2	80.79573128	-26.09631015	-4.00404831
FZ	60.73017777	0	59.47138394
F3	57.57616305	48.14114469	39.90508284
F4	57.57616305	-48.14114469	39.90508284
F7	49.88651615	68.41148946	-7.49690713
F8	49.88728633	-68.41254564	-7.482129533
FC1	32.43878889	32.32575332	71.60845375
FC2	32.43878889	-32.32575332	71.60845375
FC5	28.80808576	76.2383868	24.1413043
FC6	28.80808576	-76.2383868	24.1413043
CZ	5.20E-15	0	85
C3	3.87E-15	63.16731017	56.87610154
C4	3.87E-15	-63.16731017	56.87610154
T3	5.17e-15	84.5	-8.85
T4	5.17e-15	-84.5	-8.85
A1	3.68e-15	60.1	-60.1
A2	3.68e-15	-60.1	-60.1
CP1	-32.38232042	32.38232042	71.60845375
CP2	-32.38232042	-32.38232042	71.60845375
CP5	-29.2068723	76.08650365	24.1413043
CP6	-29.2068723	-76.08650365	24.1413043
PZ	-60.73017777	-7.44E-15	59.47138394
P3	-57.49205325	48.24156068	39.90508284
P4	-57.49205325	-48.24156068	39.90508284
T5	-49.9	68.4	-7.49
T6	-49.9	-68.4	-7.49
PO3	-76.40259649	30.8686527	20.8511278
PO4	-76.40259649	-30.8686527	20.8511278
OZ	-84.9813581	-1.04E-14	-1.78010569
O1	-80.75006159	26.23728548	-4.00404831
O2	-80.75006159	-26.23728548	-4.00404831
