family,method,protocol,n_rows,accuracy_mean,accuracy_std,balanced_accuracy_mean,balanced_accuracy_std,macro_f1_mean,macro_f1_std,kappa_mean,kappa_std
baseline,CSP-LDA,cross_session_train_1-4_test_5,25,0.5315010599862574,0.06459893998984836,0.5302956645922554,0.06524856725967612,0.47502098482255695,0.09652027105655965,0.06053209612716504,0.13057789670699432
baseline,FBCSP-LDA,cross_session_train_1-4_test_5,25,0.5075298898620325,0.0358124594448577,0.5061181876543859,0.03641505212644662,0.4141492115179002,0.07161643794472417,0.011975503860527797,0.07353967850872938
stable_fbcsp,FBCSP-discriminative-weighted,cross_session_train_1-4_test_5,25,0.5169327550402648,0.05523332151608181,0.5154290495116896,0.05431190889834044,0.42573853503535775,0.09774372789725265,0.03099100806628457,0.10887519153279385
stable_fbcsp,FBCSP-equal,cross_session_train_1-4_test_5,25,0.5170834815925484,0.05128396797918582,0.5152449291731186,0.050408540604095,0.4155823186849751,0.09818758910953841,0.030607009258995507,0.10124021286930042
stable_fbcsp,Stable-FBCSP,cross_session_train_1-4_test_5,25,0.5059982503363848,0.059680023297320126,0.5041753986826933,0.05901542146805007,0.4042288633846721,0.09267641620859762,0.008424621716703355,0.11831695558548683
stable_fbcsp,FBCSP-discriminative-weighted,cross_session_train_1-4_test_5,25,0.5169327550402648,0.05523332151608181,0.5154290495116896,0.05431190889834044,0.42573853503535775,0.09774372789725265,0.03099100806628457,0.10887519153279385
stable_fbcsp,FBCSP-equal,cross_session_train_1-4_test_5,25,0.5170834815925484,0.05128396797918582,0.5152449291731186,0.050408540604095,0.4155823186849751,0.09818758910953841,0.030607009258995507,0.10124021286930042
stable_fbcsp,Stable-FBCSP,cross_session_train_1-4_test_5,25,0.5131630353615529,0.06450528205380478,0.5115338790428002,0.06382072632981661,0.4186875593816862,0.09591479016810424,0.023183015395603232,0.12807078656438153
stable_fbcsp_v2,FBCSP-innerLOSO-weighted,cross_session_train_1-4_test_5,25,0.5155219866053503,0.04954003013220069,0.5131839441989624,0.04926063127336836,0.43482760241721063,0.09200978590613523,0.026390670698546472,0.09918760646264968
stable_fbcsp_v2,Stable-FBCSP-V2,cross_session_train_1-4_test_5,25,0.5206528718653611,0.06202382694853997,0.5180709541390424,0.06125404115536673,0.432764929077914,0.10146696633132132,0.03626075869907092,0.12263407947928037
deep_learning,EEGNet-compressed 3 seeds,cross_session_train_1-4_test_5,75,0.5678593587103324,0.10905722614342242,0.5685061497635379,0.10910381467550263,0.5557572258720703,0.11687411601403036,0.13678704555612733,0.21757693152245516
