subject,csp_bacc,ea_csp_bacc,delta_bacc
sub-001,0.5108695652173914,0.6268115942028986,0.1159420289855072
sub-002,0.5102040816326531,0.7349157054125999,0.2247116237799468
sub-003,0.6,0.52,-0.07999999999999996
sub-004,0.57,0.55,-0.019999999999999907
sub-005,0.5270475227502528,0.4598078867542973,-0.0672396359959555
sub-006,0.440550133096717,0.5636645962732919,0.12311446317657493
sub-007,0.6799999999999999,0.6799999999999999,0.0
sub-008,0.5,0.41000000000000003,-0.08999999999999997
sub-009,0.48959183673469386,0.5320408163265307,0.0424489795918368
sub-010,0.5006377551020409,0.48469387755102045,-0.015943877551020447
sub-011,0.51,0.5,-0.010000000000000009
sub-012,0.4858156028368794,0.5632387706855791,0.07742316784869974
sub-013,0.5599999999999999,0.66,0.10000000000000009
sub-014,0.5,0.45999999999999996,-0.040000000000000036
sub-015,0.5120833333333333,0.49125,-0.020833333333333315
sub-016,0.5848646034816247,0.562137330754352,-0.022727272727272707
sub-017,0.49069148936170215,0.4955673758865249,0.004875886524822737
sub-018,0.55,0.74,0.18999999999999995
sub-019,0.4346011131725417,0.43807977736549164,0.003478664192949954
sub-020,0.56,0.75,0.18999999999999995
sub-021,0.7184107685627443,0.7724706904038211,0.054059921841076775
sub-022,0.46458333333333335,0.48541666666666666,0.020833333333333315
sub-023,0.5074404761904762,0.5763180272108843,0.06887755102040816
sub-024,0.55,0.42,-0.13000000000000006
sub-025,0.5,0.44999999999999996,-0.050000000000000044
