subject,method,protocol,alignment,n_seeds,accuracy_mean,accuracy_std,balanced_accuracy_mean,balanced_accuracy_std,macro_f1_mean,macro_f1_std,kappa_mean,kappa_std,epochs_ran_mean,epochs_ran_std,train_seconds_mean,train_seconds_std
sub-001,EA+EEGNet-compressed,cross_session_train_1-4_test_5,euclidean_alignment_unsupervised_target,3,0.5,0.021276595744680854,0.5007548309178743,0.024009319349660226,0.4940030369905283,0.020612873473831016,0.0013325249718627215,0.04795342495189985,14.333333333333334,3.2145502536643185,1.565609614054362,0.15272303052300554
sub-002,EA+EEGNet-compressed,cross_session_train_1-4_test_5,euclidean_alignment_unsupervised_target,3,0.7052631578947368,0.03646422752776589,0.7054125998225377,0.03868400611180197,0.7031666997946068,0.037300400553705836,0.41024029202060114,0.07564689194202565,26.333333333333332,8.504900548115382,1.6511290868123372,0.4764436231149342
sub-003,EA+EEGNet-compressed,cross_session_train_1-4_test_5,euclidean_alignment_unsupervised_target,3,0.5233333333333333,0.06658328118479392,0.5233333333333333,0.06658328118479392,0.49325636672325973,0.07137607549244603,0.046666666666666634,0.13316656236958785,21.0,1.0,1.3311189810434978,0.02988886566301362
sub-004,EA+EEGNet-compressed,cross_session_train_1-4_test_5,euclidean_alignment_unsupervised_target,3,0.51,0.05567764362830018,0.51,0.055677643628300244,0.45421904891641157,0.08714829295437757,0.01999999999999998,0.11135528725660047,16.666666666666668,3.7859388972001824,1.059209664662679,0.22901690924719412
sub-005,EA+EEGNet-compressed,cross_session_train_1-4_test_5,euclidean_alignment_unsupervised_target,3,0.5318352059925093,0.07481267548853247,0.5329457364341086,0.0760585378927992,0.5313251183207163,0.07420151360012174,0.06544178815766728,0.1512461674343252,24.333333333333332,10.214368964029708,1.4480183124542236,0.5121699118162144
sub-006,EA+EEGNet-compressed,cross_session_train_1-4_test_5,euclidean_alignment_unsupervised_target,3,0.5578947368421052,0.027850013800679863,0.5592280390417036,0.02802766720867278,0.5572127040384586,0.028124723633047178,0.11802455520114208,0.05585531084032407,28.333333333333332,5.131601439446884,1.6057944297790527,0.28623684396761806
sub-007,EA+EEGNet-compressed,cross_session_train_1-4_test_5,euclidean_alignment_unsupervised_target,3,0.5766666666666667,0.056862407030773256,0.5766666666666667,0.056862407030773256,0.5658079465493617,0.0597232256332005,0.15333333333333335,0.11372481406154653,17.333333333333332,6.506407098647712,1.0630811055501301,0.31685087026873565
sub-008,EA+EEGNet-compressed,cross_session_train_1-4_test_5,euclidean_alignment_unsupervised_target,3,0.5066666666666667,0.01527525231651948,0.5066666666666667,0.01527525231651948,0.4298950904096318,0.0957236676268451,0.013333333333333345,0.03055050463303896,21.666666666666668,12.662279942148386,1.303977409998576,0.6374336231791551
sub-009,EA+EEGNet-compressed,cross_session_train_1-4_test_5,euclidean_alignment_unsupervised_target,3,0.43097643097643096,0.030859095588928215,0.4304081632653061,0.03139675038960359,0.42766721176018996,0.033953610490919266,-0.1393707804290767,0.06298093449073859,30.666666666666668,14.364307617610162,1.8398035367329915,0.7506166912662279
sub-010,EA+EEGNet-compressed,cross_session_train_1-4_test_5,euclidean_alignment_unsupervised_target,3,0.5429553264604811,0.056779077807073204,0.54343820861678,0.05653496376042799,0.5417060228988406,0.05742254750625494,0.08682175185461039,0.11302498195902572,23.333333333333332,15.50268793897798,1.4312528769175212,0.8581560211705258
sub-011,EA+EEGNet-compressed,cross_session_train_1-4_test_5,euclidean_alignment_unsupervised_target,3,0.5133333333333333,0.011547005383792526,0.5133333333333333,0.011547005383792526,0.5112292002147075,0.012609028129012094,0.02666666666666669,0.023094010767585053,18.666666666666668,6.506407098647712,0.9962356885274252,0.3406966050379684
sub-012,EA+EEGNet-compressed,cross_session_train_1-4_test_5,euclidean_alignment_unsupervised_target,3,0.5421686746987951,0.06260424605670638,0.5394011032308905,0.04473934113858732,0.5216881264838299,0.056919946004716185,0.07955476799259993,0.08757917413640144,24.0,22.516660498395403,1.3007709980010986,1.1369962881678182
sub-013,EA+EEGNet-compressed,cross_session_train_1-4_test_5,euclidean_alignment_unsupervised_target,3,0.74,0.08185352771872446,0.74,0.08185352771872446,0.7399833316665,0.08185829432864823,0.4799999999999999,0.16370705543744898,30.666666666666668,14.224392195567912,1.7857450644175212,0.7727584025452207
sub-014,EA+EEGNet-compressed,cross_session_train_1-4_test_5,euclidean_alignment_unsupervised_target,3,0.54,0.010000000000000009,0.54,0.010000000000000009,0.533510850859062,0.018905382920977223,0.08,0.019999999999999962,24.333333333333332,22.233608194203057,1.2662587960561116,1.1024635439833104
sub-015,EA+EEGNet-compressed,cross_session_train_1-4_test_5,euclidean_alignment_unsupervised_target,3,0.5510204081632653,0.026997462357801913,0.5509722222222222,0.027501052168423808,0.5499830733714146,0.027220939186014488,0.10187899463355495,0.05494118750214674,40.0,17.320508075688775,2.106064796447754,0.906899549190046
sub-016,EA+EEGNet-compressed,cross_session_train_1-4_test_5,euclidean_alignment_unsupervised_target,3,0.6007326007326007,0.04441155916843272,0.6071889103803998,0.04446135845115867,0.5879597251553063,0.045822830680676954,0.21146329853766951,0.08771234660352073,36.666666666666664,11.930353445448855,2.171959479649862,0.6275386785031541
sub-017,EA+EEGNet-compressed,cross_session_train_1-4_test_5,euclidean_alignment_unsupervised_target,3,0.47719298245614034,0.030386856273138196,0.47894503546099293,0.03071012070157582,0.4630344320694506,0.02595919107055071,-0.041984071811008127,0.06124801033582392,17.0,9.539392014169456,0.9402458667755127,0.5382624485881932
sub-018,EA+EEGNet-compressed,cross_session_train_1-4_test_5,euclidean_alignment_unsupervised_target,3,0.5433333333333333,0.06429100507328636,0.5433333333333333,0.06429100507328638,0.5283954407375946,0.08134452867051918,0.08666666666666667,0.12858201014657278,23.333333333333332,9.073771725877465,1.297843058904012,0.48691638091664524
sub-019,EA+EEGNet-compressed,cross_session_train_1-4_test_5,euclidean_alignment_unsupervised_target,3,0.6308243727598566,0.09756743791266095,0.6361317254174397,0.09197220897259581,0.6250562844892971,0.10615087227154027,0.2702599679695263,0.18426807558098254,19.333333333333332,3.7859388972001824,1.0624401569366455,0.243591186664786
sub-020,EA+EEGNet-compressed,cross_session_train_1-4_test_5,euclidean_alignment_unsupervised_target,3,0.86,0.010000000000000009,0.86,0.009999999999999953,0.8596912955465587,0.01002532876715129,0.72,0.020000000000000018,23.666666666666668,5.507570547286102,1.3011633555094402,0.2842926400029243
sub-021,EA+EEGNet-compressed,cross_session_train_1-4_test_5,euclidean_alignment_unsupervised_target,3,0.75,0.037557825786083195,0.7506151396728904,0.03817667931979187,0.7498084416409742,0.037506648466428524,0.5004451280862653,0.07568702954362774,24.666666666666668,5.507570547286102,1.3924383322397869,0.3208790943106803
sub-022,EA+EEGNet-compressed,cross_session_train_1-4_test_5,euclidean_alignment_unsupervised_target,3,0.5985663082437276,0.012416134821282263,0.5983796296296297,0.01343589987123284,0.598014681559184,0.012860691471743466,0.19663264492922683,0.026432168533139073,40.333333333333336,8.736894948054104,2.249602476755778,0.5357832336261609
sub-023,EA+EEGNet-compressed,cross_session_train_1-4_test_5,euclidean_alignment_unsupervised_target,3,0.6494845360824743,0.027275786712006117,0.6503684807256235,0.027721229723635915,0.6468866607030679,0.02506944228560315,0.30015144951282335,0.055058078247216466,22.0,2.6457513110645907,1.189947525660197,0.14478082269294199
sub-024,EA+EEGNet-compressed,cross_session_train_1-4_test_5,euclidean_alignment_unsupervised_target,3,0.5266666666666667,0.005773502691896263,0.5266666666666667,0.005773502691896263,0.5083774769970046,0.02623997060333306,0.05333333333333338,0.011547005383792526,18.0,7.54983443527075,1.0050218105316162,0.3789722575147784
sub-025,EA+EEGNet-compressed,cross_session_train_1-4_test_5,euclidean_alignment_unsupervised_target,3,0.53,0.03999999999999998,0.53,0.040000000000000036,0.5092667099566908,0.041542935494500687,0.06000000000000002,0.08000000000000002,16.666666666666668,5.033222956847166,1.006994326909383,0.30236658418828033
