label,channel,band,mean_power,log10_mean_power,n_trials
left,C3,mu_8_13Hz,0.8580582659006539,-0.0664832206594849,4044
left,C4,mu_8_13Hz,0.5824458126857203,-0.23474447261309223,4044
left,C3,beta_13_30Hz,0.8455136006135129,-0.07287940211249297,4044
left,C4,beta_13_30Hz,0.7890146079356047,-0.10291495612252324,4044
left,C3,mu_beta_8_30Hz,1.742015393488052,0.24105198837392938,4044
left,C4,mu_beta_8_30Hz,1.382170819042016,0.14056171972627354,4044
right,C3,mu_8_13Hz,0.872381634999781,-0.059293485576379965,4012
right,C4,mu_8_13Hz,0.6689117334962895,-0.1746311859460083,4012
right,C3,beta_13_30Hz,0.8667891535409448,-0.062086531808597405,4012
right,C4,beta_13_30Hz,0.7754321748286297,-0.11045618287403765,4012
right,C3,mu_beta_8_30Hz,1.7769216690712495,0.24966828349471062,4012
right,C4,mu_beta_8_30Hz,1.453211363082033,0.1623287850787382,4012
